query,service_id,service,codes,hospital,ccn,verdict,lines,headline_description,headline_context,cash,gross,min,max,ref,file_date,url,alias_means_this_service,headline_is_this_service,billing_class_if_known,note,reviewer,date
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Elite Hospital Kingwood,670285,unknown: no billing class stated,1,Computed tomography head or brain; without contrast material,both,2612.15,5224.29,226.89,302.52,row 508,6/1/2026,https://elitekingwood.com/823349983_Elite-Hospital-Kingwood_Standard-Charges.csv,yes,yes,,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Kingwood Pines Hospital,454103,not found,0,,,,,,,,2026-08-31,https://uhsfilecdn.eskycity.net/bh/731726290_kingwood-pines_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,HCA Houston Healthcare Kingwood,450775,conflicting,48,,,,,,,,2026-05-14,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1619857_HCA-HOUSTON-HEALTHCARE-KINGWOOD_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,yes,,,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Texas Childrens Hospital,453304,conflicting,8,,,,,,,,2026-03-05,https://www.texaschildrens.org/sites/tc/files/uploads/documents/741100555_texas-childrens-hospital_standardcharges.zip,yes,,,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Baylor St Lukes Medical Center,450193,unknown: no billing class stated,2,HC LAB CBC (W/PLT&HEMOGRAM),outpatient,174.3,498,4.66,498,item 10588/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Houston Methodist Hospital,450358,comparable,2,HC COMPLETE BLOOD COUNT CBC,"both, facility",133,266,,,item 10713/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Harris Health,450289,unknown: no billing class stated,1,CBC/PLATELET,both,6.47,166,5.43,107.9,row 36051,3/24/2026,https://www.harrishealth.org/SiteCollectionDocuments/financials/charge%20description%20master/2026/741536936_Harris-Health-Ben-Taub-Hospital_StandardCharges.zip,yes,yes,,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Houston Methodist The Woodlands Hospital,670122,comparable,2,HC COMPLETE BLOOD COUNT CBC,"both, facility",95.5,191,,,item 10719/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/760545192_houston-methodist-the-woodlands-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,CHI St Lukes Lakeside Hospital,670059,unknown: no billing class stated,2,HC LAB CBC (W/PLT&HEMOGRAM),outpatient,174.3,498,4.66,498,item 10630/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,St Luke's The Woodlands Hospital,450862,unknown: no billing class stated,2,HC LAB CBC (W/PLT&HEMOGRAM),outpatient,174.3,498,4.66,498,item 10630/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/760536234-1942208616_st-lukes-community-health-services-st-lukes-the-woodlands-hospital_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Woodland Springs,454144,not found,0,,,,,,,,7/31/2026,https://www.woodlandspringshealth.com/docs/bhwoodlandspringslibraries/3q26/352565165_woodland-springs_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Elite Hospital Kingwood,670285,unknown: no billing class stated,1,Blood count; complete (CBC) automated (Hgb Hct RBC WBC and platelet count),both,97.2,194.4,145.8,145.8,row 229,6/1/2026,https://elitekingwood.com/823349983_Elite-Hospital-Kingwood_Standard-Charges.csv,yes,yes,,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,Kingwood Pines Hospital,454103,not found,0,,,,,,,,2026-08-31,https://uhsfilecdn.eskycity.net/bh/731726290_kingwood-pines_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
cbc,cpt-85027,"Complete blood count, automated",CPT 85027,HCA Houston Healthcare Kingwood,450775,unknown: no billing class stated,34,CBC AUTOMATED,outpatient,1299.26,1299.26,77.96,1169.33,item 308567/charge 1,2026-05-14,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1619857_HCA-HOUSTON-HEALTHCARE-KINGWOOD_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,yes,yes,,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Texas Childrens Hospital,453304,not found,0,,,,,,,,2026-03-05,https://www.texaschildrens.org/sites/tc/files/uploads/documents/741100555_texas-childrens-hospital_standardcharges.zip,yes,,,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Baylor St Lukes Medical Center,450193,unknown: no billing class stated,2,HC MAMMO SCRN BIL & CAD,outpatient,297.5,850,119.36,850,item 9582/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Houston Methodist Hospital,450358,comparable,2,HC MAMMOGRAM SCREENING INCL CAD BIL,"both, facility",332.5,665,,,item 13151/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Harris Health,450289,unknown: no billing class stated,1,SCREENING MAMMOGRAPHY BILATERAL INCL CAD WHEN PEFORMED,both,82.3,174,43.85,199.38,row 32991,3/24/2026,https://www.harrishealth.org/SiteCollectionDocuments/financials/charge%20description%20master/2026/741536936_Harris-Health-Ben-Taub-Hospital_StandardCharges.zip,yes,yes,,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Houston Methodist The Woodlands Hospital,670122,comparable,2,HC MAMMOGRAM SCREENING INCL CAD BIL,"both, facility",715.5,1431,,,item 13155/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/760545192_houston-methodist-the-woodlands-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,CHI St Lukes Lakeside Hospital,670059,unknown: no billing class stated,2,HC MAMMO SCRN BIL & CAD,outpatient,297.5,850,140.25,850,item 9624/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,St Luke's The Woodlands Hospital,450862,unknown: no billing class stated,2,HC MAMMO SCRN BIL & CAD,outpatient,297.5,850,140.25,850,item 9624/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/760536234-1942208616_st-lukes-community-health-services-st-lukes-the-woodlands-hospital_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Woodland Springs,454144,not found,0,,,,,,,,7/31/2026,https://www.woodlandspringshealth.com/docs/bhwoodlandspringslibraries/3q26/352565165_woodland-springs_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Elite Hospital Kingwood,670285,unknown: no billing class stated,1,Screening mammography bilateral (2-view study of each breast) including computer-aided detection (CAD) when performed,both,449.04,898.08,267.8,357.06,row 2080,6/1/2026,https://elitekingwood.com/823349983_Elite-Hospital-Kingwood_Standard-Charges.csv,yes,yes,,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,Kingwood Pines Hospital,454103,not found,0,,,,,,,,2026-08-31,https://uhsfilecdn.eskycity.net/bh/731726290_kingwood-pines_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
screening mammogram,cpt-77067,"Mammography, screening, bilateral",CPT 77067,HCA Houston Healthcare Kingwood,450775,conflicting,14,,,,,,,,2026-05-14,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1619857_HCA-HOUSTON-HEALTHCARE-KINGWOOD_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,yes,,,,Alex Spiliotopoulos,2026-09-19
